#/***************************************************************
#*  monsters.dat (Mod : Chaos-Base)                 #######     *
#*  chaos-eng(c) int13h 2005-2008                   #.....#     *
#*                                                  #..@..#     *
#*  Monster Spell Data File                         #.....#     *
#*  Modify with care!                               #######     *
#*                                                              *
#*                                                              *
#***************************************************************/
# Fields : id,name,disp,color,attack,ranged_dmg,ranged_range,defense,move_range,dex,mag_res,cast_prob,fly,mount,undead,balance
01,King Cobra,S,dgreen,04,00,00,01,01,06,01,08,0,0,0,-1
02,Bat,b,yellow,01,00,00,01,05,09,04,07,1,0,0,-1
03,Dire Wolf,C,grey,03,00,00,02,03,07,02,08,0,0,0,-1
04,Spectre,G,multi1,04,00,00,03,01,06,04,05,0,0,1,-1
05,Goblin,o,orange,02,00,00,04,01,04,04,08,0,0,0,-1
06,Crocodile,R,green,05,00,00,06,01,02,02,07,0,0,0,0
07,Green Dragon,D,green,05,04,06,08,03,04,04,00,1,0,0,-1
08,Vampire,V,purple,06,00,00,08,04,06,05,01,1,0,1,-2
09,Faun,h,white,03,00,00,02,01,07,08,07,0,0,0,-1
10,Lion,f,yellow,06,00,00,04,04,08,03,05,0,0,0,1
11,Gryphon,H,grey,03,00,00,05,05,05,06,05,1,1,0,1
12,Elf,h,green,01,02,06,02,01,05,07,06,0,0,0,2
13,Horse,H,FF0,01,00,00,03,04,08,01,08,0,1,0,1
14,Orc,o,dblue,02,00,00,01,01,04,04,09,0,0,0,-1
15,Red Dragon,D,red,07,03,05,09,03,04,05,00,1,0,0,-2
16,Manticore,H,yellow,03,01,03,06,05,06,08,03,0,1,0,-1
17,Troll,T,green,04,00,00,08,01,01,04,06,0,0,0,-1
18,Unicorn,H,dblue,05,00,00,04,04,09,07,05,0,1,0,2
19,Ghost,G,blue,01,00,00,03,02,09,06,04,1,0,1,-1
20,Wraith,G,purple,05,00,00,05,02,04,05,04,0,0,1,-1
21,Bear,P,red,06,00,00,07,02,06,02,05,0,0,0,1
22,Gorilla,P,yellow,06,00,00,05,01,04,02,06,0,0,0,0
23,Skeleton,s,white,03,00,00,02,01,03,04,06,0,0,1,-1
24,Ogre,O,red,04,00,00,07,01,03,06,06,0,0,0,-1
25,Zombie,z,blue,01,00,00,01,01,02,03,08,0,0,1,-1
26,Harpy,H,blue,04,00,00,02,05,08,05,05,1,0,0,-1
27,Pegasus,H,white,02,00,00,04,05,06,07,05,1,1,0,2
28,Eagle,B,yellow,03,00,00,03,06,08,02,06,1,0,0,1
29,Hydra,M,green,07,00,00,08,01,04,06,04,0,0,0,-1
30,Giant Rat,r,grey,01,00,00,01,03,08,02,09,0,0,0,0
31,Centaur,H,yellow,01,02,04,03,04,05,05,06,0,1,0,1
32,Giant,P,purple,09,00,00,07,02,06,05,03,0,0,0,1
33,Golden Dragon,D,yellow,09,05,04,09,03,05,05,00,1,0,0,2
